id,name,sugar
161,Latte with Sugar Free French Vanilla Syrup (Small),12
162,Latte with Sugar Free French Vanilla Syrup (Medium),15
163,Latte with Sugar Free French Vanilla Syrup (Large),20
164,Nonfat Latte (Small),13
165,Nonfat Latte (Medium),16
166,Nonfat Latte (Large),21
167,Nonfat Caramel Latte (Small),39
168,Nonfat Caramel Latte (Medium),48
169,Nonfat Caramel Latte (Large),59
170,Nonfat Hazelnut Latte (Small),38
171,Nonfat Hazelnut Latte (Medium),48
172,Nonfat Hazelnut Latte (Large),59
173,Nonfat French Vanilla Latte (Small),37
174,Nonfat French Vanilla Latte (Medium),46
175,Nonfat French Vanilla Latte (Large),56
176,Nonfat Latte with Sugar Free French Vanilla Syrup (Small),13
177,Nonfat Latte with Sugar Free French Vanilla Syrup (Medium),16
178,Nonfat Latte with Sugar Free French Vanilla Syrup (Large),21
179,Mocha (Small),42
180,Mocha (Medium),53
181,Mocha (Large),63
182,Mocha with Nonfat Milk (Small),43
183,Mocha with Nonfat Milk (Medium),53
184,Mocha with Nonfat Milk (Large),64
185,Caramel Mocha (Small),40
186,Caramel Mocha (Medium),50
187,Caramel Mocha (Large),60
188,Nonfat Caramel Mocha (Small),41
189,Nonfat Caramel Mocha (Medium),51
190,Nonfat Caramel Mocha (Large),61
191,Hot Chocolate (Small),45
192,Hot Chocolate (Medium),56
193,Hot Chocolate (Large),68
194,Hot Chocolate with Nonfat Milk (Small),46
195,Hot Chocolate with Nonfat Milk (Medium),57
196,Hot Chocolate with Nonfat Milk (Large),69
197,Regular Iced Coffee (Small),22
198,Regular Iced Coffee (Medium),30
199,Regular Iced Coffee (Large),45
200,Caramel Iced Coffee (Small),21
201,Caramel Iced Coffee (Medium),28
202,Caramel Iced Coffee (Large),42
203,Hazelnut Iced Coffee (Small),20
204,Hazelnut Iced Coffee (Medium),28
205,Hazelnut Iced Coffee (Large),41
206,French Vanilla Iced Coffee (Small),19
207,French Vanilla Iced Coffee (Medium),26
208,French Vanilla Iced Coffee (Large),39
209,Iced Coffee with Sugar Free French Vanilla Syrup (Small),1
210,Iced Coffee with Sugar Free French Vanilla Syrup (Medium),2
211,Iced Coffee with Sugar Free French Vanilla Syrup (Large),2
212,Iced Mocha (Small),34
213,Iced Mocha (Medium),43
214,Iced Mocha (Large),62
215,Iced Mocha with Nonfat Milk (Small),35
216,Iced Mocha with Nonfat Milk (Medium),43
217,Iced Mocha with Nonfat Milk (Large),62
218,Iced Caramel Mocha (Small),33
219,Iced Caramel Mocha (Medium),41
220,Iced Caramel Mocha (Large),59
221,Iced Nonfat Caramel Mocha (Small),33
222,Iced Nonfat Caramel Mocha (Medium),41
223,Iced Nonfat Caramel Mocha (Large),59
224,Frappé Mocha (Small),57
225,Frappé Mocha (Medium),71
226,Frappé Mocha (Large),88
227,Frappé Caramel (Small),57
228,Frappé Caramel (Medium),71
229,Frappé Caramel (Large),88
230,Frappé Chocolate Chip (Small),67
231,Frappé Chocolate Chip (Medium),81
232,Frappé Chocolate Chip (Large),99
233,Blueberry Pomegranate Smoothie (Small),44
234,Blueberry Pomegranate Smoothie (Medium),54
235,Blueberry Pomegranate Smoothie (Large),70
236,Strawberry Banana Smoothie (Small),44
237,Strawberry Banana Smoothie (Medium),54
238,Strawberry Banana Smoothie (Large),70
239,Mango Pineapple Smoothie (Small),46
240,Mango Pineapple Smoothie (Medium),56
241,Mango Pineapple Smoothie (Large),72
242,Vanilla Shake (Small),63
243,Vanilla Shake (Medium),81
244,Vanilla Shake (Large),101
245,Strawberry Shake (Small),79
246,Strawberry Shake (Medium),100
247,Strawberry Shake (Large),123
248,Chocolate Shake (Small),77
249,Chocolate Shake (Medium),97
250,Chocolate Shake (Large),120
251,Shamrock Shake (Medium),93
252,Shamrock Shake (Large),115
253,McFlurry with M&M’s Candies (Small),89
254,McFlurry with M&M’s Candies (Medium),128
255,McFlurry with M&M’s Candies (Snack),59
256,McFlurry with Oreo Cookies (Small),64
257,McFlurry with Oreo Cookies (Medium),85
258,McFlurry with Oreo Cookies (Snack),43
259,McFlurry with Reese's Peanut Butter Cups (Medium),103
260,McFlurry with Reese's Peanut Butter Cups (Snack),51
261,Brewed Coffee made with Short,0
262,Brewed Coffee made with Tall,0
263,Brewed Coffee made with Grande,0
264,Brewed Coffee made with Venti,0
265,Caffè Latte made with Short Nonfat Milk,9
266,Caffè Latte made with 2% Milk,9
267,Caffè Latte made with Soymilk,4
268,Caffè Latte made with Tall Nonfat Milk,14
269,Caffè Latte made with 2% Milk,14
270,Caffè Latte made with Soymilk,6
271,Caffè Latte made with Grande Nonfat Milk,18
272,Caffè Latte made with 2% Milk,17
273,Caffè Latte made with Soymilk,8
274,Caffè Latte made with Venti Nonfat Milk,23
275,Caffè Latte made with 2% Milk,22
276,Caffè Latte made with Soymilk,11
277,Caffè Mocha (Without Whipped Cream) made with Short Nonfat Milk,17
278,Caffè Mocha (Without Whipped Cream) made with 2% Milk,17
279,Caffè Mocha (Without Whipped Cream) made with Soymilk,13
280,Caffè Mocha (Without Whipped Cream) made with Tall Nonfat Milk,27
281,Caffè Mocha (Without Whipped Cream) made with 2% Milk,26
282,Caffè Mocha (Without Whipped Cream) made with Soymilk,20
283,Caffè Mocha (Without Whipped Cream) made with Grande Nonfat Milk,34
284,Caffè Mocha (Without Whipped Cream) made with 2% Milk,34
285,Caffè Mocha (Without Whipped Cream) made with Soymilk,26
286,Caffè Mocha (Without Whipped Cream) made with Venti Nonfat Milk,44
287,Caffè Mocha (Without Whipped Cream) made with 2% Milk,43
288,Caffè Mocha (Without Whipped Cream) made with Soymilk,33
289,Vanilla Latte (Or Other Flavoured Latte) made with Short Nonfat Milk,18
290,Vanilla Latte (Or Other Flavoured Latte) made with 2% Milk,17
291,Vanilla Latte (Or Other Flavoured Latte) made with Soymilk,13
